Site,Tooth,Peak,Wavenumber,Abs_intensity,Rel_intensity,Width,Found_if_threshold
Vagnari vicus,VV_13,1415,1413.1232,0.197,0.186,111.8368,106.910759
Vagnari vicus,VV_13,1455,1454.3137,0.194,0.039,22.8848,24.291092
Vagnari vicus,VV_13,1540,1540.8284,0.057,0.002,5.8033,13.712581
Vagnari vicus,VV_16,565,563.241,1.957,1.938,37.0485,103.888184
Vagnari vicus,VV_16,590,589.2536,0.869,0.649,21.208,23.5026
Vagnari vicus,VV_16,605,601.5437,1.311,0.514,11.4729,23.147432
Vagnari vicus,VV_16,1035,1026.7225,2,1.976,93.3012,138.016769
Vagnari vicus,VV_16,1415,1413.2342,0.231,0.056,24.1089,22.386843
Vagnari vicus,VV_16,1455,1456.819,0.232,0.202,112.4629,134.528976
Vagnari vicus,VV_16,1540,1541.9219,0.094,0.011,8.1056,103.142036
Vagnari vicus,VV_18,565,559.3919,1.628,1.613,38.4166,79.903496
Vagnari vicus,VV_18,590,587.7943,0.645,0.451,48.2619,14.593322
Vagnari vicus,VV_18,605,599.54,0.875,0.293,10.3989,14.558368
Vagnari vicus,VV_18,1035,1010.9048,2.001,1.996,83.413,99.70591
Vagnari vicus,VV_18,1415,1412.6244,0.189,0.182,108.8881,105.109825
Vagnari vicus,VV_18,1455,1454.0013,0.188,0.041,22.7687,24.908878
Vagnari vicus,VV_18,1540,1542.4733,0.052,0.003,9.6211,1.685505
Vagnari vicus,VV_19,565,560.3154,1.808,1.795,40.273,89.065865
Vagnari vicus,VV_19,590,588.0048,0.77,0.513,38.7482,16.568064
Vagnari vicus,VV_19,605,599.7665,1.06,0.357,10.3963,16.352694
Vagnari vicus,VV_19,1035,1014.5918,2,1.993,93.2643,99.543808
Vagnari vicus,VV_19,1415,1412.3398,0.204,0.056,23.0006,23.012903
Vagnari vicus,VV_19,1455,1454.7529,0.208,0.197,107.7002,133.440567
Vagnari vicus,VV_19,1540,1542.3901,0.067,0.007,10.3997,4.595425
